NAME,CALORIES,FAT,CARBS,FIBER,PROTEIN,SERVING_SIZE,SERVING_TYPE,TIMESTAMP
Chicken Breast,165,3.5,0,0,30.9,100,grams,null
Beef (80% lean),253,20.3,0,0,16.8,100,grams,null
Rice (white),130,0.3,28.1,0.3,2.7,100,grams,null
Broccoli,34,0.3,4.5,2.5,2.8,100,grams,null
Mixed Berries,50,0.4,8.5,3.6,0.7,100,grams,null
Mixed Nuts,607,52.9,14.1,7.1,21.2,100,grams,null
Greek Yogurt,101,4.9,4,0,9.7,100,grams,null
Eggs,144,9.6,0.8,0,12,2,Large Eggs,null
Beans,126,0.5,16.4,6.2,8.5,100,grams,null
Milk,65,3.5,5.3,0,3.5,8,fl oz,null
Chocolate,484,29,58.1,0,6.5,100,grams,null
Bread (white),264,3.2,45.2,2.8,9.2,100,grams,null
Salmon,131,4.5,0,0,22.9,100,grams,null
